UNIQUEID;RECIPEID;PRODUCTID;STATIONID;STARTTIME;ENDTIME
47ca8dd2-0cd6-48be-991e-b8ae4f2549b1;PWD;e766512f-d237-464e-bccc-92a5981aac03;ProflexFordDeviceAdapter;2022-06-23T11:31:25.839+01:00;2022-06-23T11:32:31.014+01:00
a518d39e-945d-4d1b-a2b8-72cf658d152f;PWD;44d1ee54-83eb-4a05-b8aa-a2305a557bbb;ProflexVWDeviceAdapter;2022-06-23T11:32:27.728+01:00;2022-06-23T11:33:16.918+01:00
f3a3f3f1-589c-462f-98b1-337065955295;PWD;b8e94426-9f4e-412b-9cd6-fc7a9ce9081f;ProflexFordDeviceAdapter;2022-06-23T11:32:31.504+01:00;2022-06-23T11:33:37.044+01:00
dc0e7f3a-cb5a-4ab2-83eb-aa822b94289c;PWD;2ea77d82-c368-452d-a622-796390ad9da8;ProflexVWDeviceAdapter;2022-06-23T11:33:17.75+01:00;2022-06-23T11:34:06.922+01:00
98bd2c8d-9792-43a4-a7bb-dac9d9c3bd4f;PWD;34cf9df0-a947-4348-a07a-fda098428063;ProflexFordDeviceAdapter;2022-06-23T11:33:37.779+01:00;2022-06-23T11:34:54.507+01:00
abe73bf3-9e74-4fe4-b122-aba5b728aeb2;PWD;d6a7b202-bb3c-4469-af89-aa5c1d88c711;ProflexVWDeviceAdapter;2022-06-23T11:34:07.746+01:00;2022-06-23T11:35:07.929+01:00
1aebe7ca-a0fd-4015-9e96-eded00667e06;PWD;0424cb50-3f7a-44f6-8749-f0043f57424b;ProflexVWDeviceAdapter;2022-06-23T11:35:08.817+01:00;2022-06-23T11:36:07.836+01:00
ef2c9076-1c4d-4a2c-a7a6-41e2626cf151;PWD;7780a9a2-2a69-47ab-a7f8-0597371836ea;ProflexFordDeviceAdapter;2022-06-23T11:34:55.01+01:00;2022-06-23T11:36:12.201+01:00
de99a1ce-b332-4681-9355-2c7e3b28fb7c;PWD;792476c1-d081-4ef0-897f-f3b89e930c69;ProflexVWDeviceAdapter;2022-06-23T11:36:08.561+01:00;2022-06-23T11:37:08.943+01:00
1507ffc8-5c49-4843-8347-becb35cb20ae;PWD;f4f1957e-eb36-4b5d-a92e-2442c418d3e3;ProflexFordDeviceAdapter;2022-06-23T11:36:12.893+01:00;2022-06-23T11:37:29.153+01:00
6ce42a3f-e58a-4e0d-9c67-b87ecc0db984;PWD;791a52dd-0242-4fe2-97a9-740173206657;ProflexVWDeviceAdapter;2022-06-23T11:37:09.818+01:00;2022-06-23T11:38:09.965+01:00
8e7e5861-d23c-46f3-ab9b-76e8a3dc086d;PWD;645ffce4-82aa-43c4-acaa-4a1223a1034d;ProflexFordDeviceAdapter;2022-06-23T11:37:30.08+01:00;2022-06-23T11:38:46.151+01:00
8f2a6b13-75c0-4c67-95cd-7db911b56d75;PWD;2b078f15-bb50-4d4f-bf5c-12a50d4344fa;ProflexVWDeviceAdapter;2022-06-23T11:38:10.729+01:00;2022-06-23T11:39:10.856+01:00
bbc1919b-8caf-40c4-a670-b7a01218d042;PWD;668bb6b3-8bb3-43f1-89dc-583a6c0a20c8;ProflexFordDeviceAdapter;2022-06-23T11:38:46.359+01:00;2022-06-23T11:40:03.189+01:00
